attention_family,model_role,condition_label,layer,sample_idx,aggregate_pair_equal_norm_entropy
cross_attention,NoGate,b3c2_none_frz_base,1,0,0.950450
cross_attention,NoGate,b3c2_none_frz_base,1,1,0.936158
cross_attention,NoGate,b3c2_none_frz_base,1,2,0.920460
cross_attention,NoGate,b3c2_none_frz_base,1,3,0.903825
cross_attention,NoGate,b3c2_none_frz_base,1,4,0.886749
cross_attention,NoGate,b3c2_none_frz_base,1,5,0.869742
cross_attention,NoGate,b3c2_none_frz_base,1,6,0.853313
cross_attention,NoGate,b3c2_none_frz_base,1,7,0.837951
cross_attention,NoGate,b3c2_none_frz_base,1,8,0.824114
cross_attention,NoGate,b3c2_none_frz_base,1,9,0.812217
cross_attention,NoGate,b3c2_none_frz_base,1,10,0.802615
cross_attention,NoGate,b3c2_none_frz_base,1,11,0.795593
cross_attention,NoGate,b3c2_none_frz_base,1,12,0.791362
cross_attention,NoGate,b3c2_none_frz_base,1,13,0.790047
cross_attention,NoGate,b3c2_none_frz_base,1,14,0.791689
cross_attention,NoGate,b3c2_none_frz_base,1,15,0.796238
cross_attention,NoGate,b3c2_none_frz_base,1,16,0.803559
cross_attention,NoGate,b3c2_none_frz_base,1,17,0.813432
cross_attention,NoGate,b3c2_none_frz_base,1,18,0.825563
cross_attention,NoGate,b3c2_none_frz_base,1,19,0.839590
cross_attention,NoGate,b3c2_none_frz_base,1,20,0.855094
cross_attention,NoGate,b3c2_none_frz_base,1,21,0.871613
cross_attention,NoGate,b3c2_none_frz_base,1,22,0.888652
cross_attention,NoGate,b3c2_none_frz_base,1,23,0.905704
cross_attention,NoGate,b3c2_none_frz_base,1,24,0.922259
cross_attention,NoGate,b3c2_none_frz_base,1,25,0.937823
cross_attention,NoGate,b3c2_none_frz_base,1,26,0.951932
cross_attention,NoGate,b3c2_none_frz_base,1,27,0.964164
cross_attention,NoGate,b3c2_none_frz_base,1,28,0.974153
cross_attention,NoGate,b3c2_none_frz_base,1,29,0.981603
cross_attention,NoGate,b3c2_none_frz_base,1,30,0.986290
cross_attention,NoGate,b3c2_none_frz_base,1,31,0.988074
cross_attention,NoGate,b3c2_none_frz_base,1,32,0.986903
cross_attention,NoGate,b3c2_none_frz_base,1,33,0.982811
cross_attention,NoGate,b3c2_none_frz_base,1,34,0.975920
cross_attention,NoGate,b3c2_none_frz_base,1,35,0.966436
cross_attention,NoGate,b3c2_none_frz_base,1,36,0.954642
cross_attention,NoGate,b3c2_none_frz_base,1,37,0.940891
cross_attention,NoGate,b3c2_none_frz_base,1,38,0.925592
cross_attention,NoGate,b3c2_none_frz_base,1,39,0.909203
cross_attention,NoGate,b3c2_none_frz_base,1,40,0.892213
cross_attention,NoGate,b3c2_none_frz_base,1,41,0.875129
cross_attention,NoGate,b3c2_none_frz_base,1,42,0.858461
cross_attention,NoGate,b3c2_none_frz_base,1,43,0.842706
cross_attention,NoGate,b3c2_none_frz_base,1,44,0.828336
cross_attention,NoGate,b3c2_none_frz_base,1,45,0.815779
cross_attention,NoGate,b3c2_none_frz_base,1,46,0.805410
cross_attention,NoGate,b3c2_none_frz_base,1,47,0.797538
cross_attention,NoGate,b3c2_none_frz_base,1,48,0.792399
cross_attention,NoGate,b3c2_none_frz_base,1,49,0.790146
cross_attention,NoGate,b3c2_none_frz_base,1,50,0.790846
cross_attention,NoGate,b3c2_none_frz_base,1,51,0.794478
cross_attention,NoGate,b3c2_none_frz_base,1,52,0.800934
cross_attention,NoGate,b3c2_none_frz_base,1,53,0.810022
cross_attention,NoGate,b3c2_none_frz_base,1,54,0.821469
cross_attention,NoGate,b3c2_none_frz_base,1,55,0.834934
cross_attention,NoGate,b3c2_none_frz_base,1,56,0.850016
cross_attention,NoGate,b3c2_none_frz_base,1,57,0.866263
cross_attention,NoGate,b3c2_none_frz_base,1,58,0.883191
cross_attention,NoGate,b3c2_none_frz_base,1,59,0.900294
cross_attention,NoGate,b3c2_none_frz_base,1,60,0.917063
cross_attention,NoGate,b3c2_none_frz_base,1,61,0.932995
cross_attention,NoGate,b3c2_none_frz_base,1,62,0.947616
cross_attention,NoGate,b3c2_none_frz_base,1,63,0.960489
cross_attention,NoGate,b3c2_none_frz_base,1,64,0.971230
cross_attention,NoGate,b3c2_none_frz_base,1,65,0.979518
cross_attention,NoGate,b3c2_none_frz_base,1,66,0.985105
cross_attention,NoGate,b3c2_none_frz_base,1,67,0.987825
cross_attention,NoGate,b3c2_none_frz_base,1,68,0.987597
cross_attention,NoGate,b3c2_none_frz_base,1,69,0.984428
cross_attention,NoGate,b3c2_none_frz_base,1,70,0.978411
cross_attention,NoGate,b3c2_none_frz_base,1,71,0.969727
cross_attention,NoGate,b3c2_none_frz_base,1,72,0.958635
cross_attention,NoGate,b3c2_none_frz_base,1,73,0.945466
cross_attention,NoGate,b3c2_none_frz_base,1,74,0.930613
cross_attention,NoGate,b3c2_none_frz_base,1,75,0.914520
cross_attention,NoGate,b3c2_none_frz_base,1,76,0.897667
cross_attention,NoGate,b3c2_none_frz_base,1,77,0.880557
cross_attention,NoGate,b3c2_none_frz_base,1,78,0.863702
cross_attention,NoGate,b3c2_none_frz_base,1,79,0.847603
cross_attention,NoGate,b3c2_none_frz_base,1,80,0.832743
cross_attention,NoGate,b3c2_none_frz_base,1,81,0.819564
cross_attention,NoGate,b3c2_none_frz_base,1,82,0.808459
cross_attention,NoGate,b3c2_none_frz_base,1,83,0.799762
cross_attention,NoGate,b3c2_none_frz_base,1,84,0.793730
cross_attention,NoGate,b3c2_none_frz_base,1,85,0.790545
cross_attention,NoGate,b3c2_none_frz_base,1,86,0.790301
