attention_family,model_role,condition_label,layer,sample_idx,aggregate_pair_equal_norm_entropy
cross_attention,PreGate,b3c2_pre_frz_base,1,0,0.652855
cross_attention,PreGate,b3c2_pre_frz_base,1,1,0.640146
cross_attention,PreGate,b3c2_pre_frz_base,1,2,0.627666
cross_attention,PreGate,b3c2_pre_frz_base,1,3,0.615787
cross_attention,PreGate,b3c2_pre_frz_base,1,4,0.604864
cross_attention,PreGate,b3c2_pre_frz_base,1,5,0.595224
cross_attention,PreGate,b3c2_pre_frz_base,1,6,0.587154
cross_attention,PreGate,b3c2_pre_frz_base,1,7,0.580894
cross_attention,PreGate,b3c2_pre_frz_base,1,8,0.576632
cross_attention,PreGate,b3c2_pre_frz_base,1,9,0.574496
cross_attention,PreGate,b3c2_pre_frz_base,1,10,0.574548
cross_attention,PreGate,b3c2_pre_frz_base,1,11,0.576788
cross_attention,PreGate,b3c2_pre_frz_base,1,12,0.581148
cross_attention,PreGate,b3c2_pre_frz_base,1,13,0.587498
cross_attention,PreGate,b3c2_pre_frz_base,1,14,0.595649
cross_attention,PreGate,b3c2_pre_frz_base,1,15,0.605357
cross_attention,PreGate,b3c2_pre_frz_base,1,16,0.616333
cross_attention,PreGate,b3c2_pre_frz_base,1,17,0.628248
cross_attention,PreGate,b3c2_pre_frz_base,1,18,0.640748
cross_attention,PreGate,b3c2_pre_frz_base,1,19,0.653459
cross_attention,PreGate,b3c2_pre_frz_base,1,20,0.666001
cross_attention,PreGate,b3c2_pre_frz_base,1,21,0.678000
cross_attention,PreGate,b3c2_pre_frz_base,1,22,0.689098
cross_attention,PreGate,b3c2_pre_frz_base,1,23,0.698963
cross_attention,PreGate,b3c2_pre_frz_base,1,24,0.707301
cross_attention,PreGate,b3c2_pre_frz_base,1,25,0.713864
cross_attention,PreGate,b3c2_pre_frz_base,1,26,0.718454
cross_attention,PreGate,b3c2_pre_frz_base,1,27,0.720936
cross_attention,PreGate,b3c2_pre_frz_base,1,28,0.721234
cross_attention,PreGate,b3c2_pre_frz_base,1,29,0.719341
cross_attention,PreGate,b3c2_pre_frz_base,1,30,0.715312
cross_attention,PreGate,b3c2_pre_frz_base,1,31,0.709268
cross_attention,PreGate,b3c2_pre_frz_base,1,32,0.701389
cross_attention,PreGate,b3c2_pre_frz_base,1,33,0.691911
cross_attention,PreGate,b3c2_pre_frz_base,1,34,0.681116
cross_attention,PreGate,b3c2_pre_frz_base,1,35,0.669327
cross_attention,PreGate,b3c2_pre_frz_base,1,36,0.656896
cross_attention,PreGate,b3c2_pre_frz_base,1,37,0.644194
cross_attention,PreGate,b3c2_pre_frz_base,1,38,0.631599
cross_attention,PreGate,b3c2_pre_frz_base,1,39,0.619489
cross_attention,PreGate,b3c2_pre_frz_base,1,40,0.608224
cross_attention,PreGate,b3c2_pre_frz_base,1,41,0.598142
cross_attention,PreGate,b3c2_pre_frz_base,1,42,0.589542
cross_attention,PreGate,b3c2_pre_frz_base,1,43,0.582682
cross_attention,PreGate,b3c2_pre_frz_base,1,44,0.577766
cross_attention,PreGate,b3c2_pre_frz_base,1,45,0.574941
cross_attention,PreGate,b3c2_pre_frz_base,1,46,0.574292
