attention_family,model_role,condition_label,layer,sample_idx,row_weighted_intra,row_weighted_inter,self_inter_norm_entropy
self_attention,NoGate,N2_none_lr1e4,1,0,0.721158,0.278842,0.94686
self_attention,NoGate,N2_none_lr1e4,1,1,0.723463,0.276537,0.956716
self_attention,NoGate,N2_none_lr1e4,1,2,0.723884,0.276116,0.965586
self_attention,NoGate,N2_none_lr1e4,1,3,0.722408,0.277592,0.973204
self_attention,NoGate,N2_none_lr1e4,1,4,0.719079,0.280921,0.979344
self_attention,NoGate,N2_none_lr1e4,1,5,0.713996,0.286004,0.983821
self_attention,NoGate,N2_none_lr1e4,1,6,0.707312,0.292688,0.986502
self_attention,NoGate,N2_none_lr1e4,1,7,0.699226,0.300774,0.987308
self_attention,NoGate,N2_none_lr1e4,1,8,0.689978,0.310022,0.986213
self_attention,NoGate,N2_none_lr1e4,1,9,0.679846,0.320154,0.983251
self_attention,NoGate,N2_none_lr1e4,1,10,0.669132,0.330868,0.97851
self_attention,NoGate,N2_none_lr1e4,1,11,0.658156,0.341844,0.972132
self_attention,NoGate,N2_none_lr1e4,1,12,0.647245,0.352755,0.964307
self_attention,NoGate,N2_none_lr1e4,1,13,0.636725,0.363275,0.955269
self_attention,NoGate,N2_none_lr1e4,1,14,0.62691,0.37309,0.945287
self_attention,NoGate,N2_none_lr1e4,1,15,0.618093,0.381907,0.93466
self_attention,NoGate,N2_none_lr1e4,1,16,0.610537,0.389463,0.923704
self_attention,NoGate,N2_none_lr1e4,1,17,0.604469,0.395531,0.912747
self_attention,NoGate,N2_none_lr1e4,1,18,0.600069,0.399931,0.902117
self_attention,NoGate,N2_none_lr1e4,1,19,0.597468,0.402532,0.892129
self_attention,NoGate,N2_none_lr1e4,1,20,0.596744,0.403256,0.883084
self_attention,NoGate,N2_none_lr1e4,1,21,0.597919,0.402081,0.87525
self_attention,NoGate,N2_none_lr1e4,1,22,0.600958,0.399042,0.868861
self_attention,NoGate,N2_none_lr1e4,1,23,0.60577,0.39423,0.864108
self_attention,NoGate,N2_none_lr1e4,1,24,0.612211,0.387789,0.861134
self_attention,NoGate,N2_none_lr1e4,1,25,0.620089,0.379911,0.860026
self_attention,NoGate,N2_none_lr1e4,1,26,0.629168,0.370832,0.860818
self_attention,NoGate,N2_none_lr1e4,1,27,0.639179,0.360821,0.863487
self_attention,NoGate,N2_none_lr1e4,1,28,0.649821,0.350179,0.867952
self_attention,NoGate,N2_none_lr1e4,1,29,0.660778,0.339222,0.874081
self_attention,NoGate,N2_none_lr1e4,1,30,0.671721,0.328279,0.88169
self_attention,NoGate,N2_none_lr1e4,1,31,0.682325,0.317675,0.890552
self_attention,NoGate,N2_none_lr1e4,1,32,0.692273,0.307727,0.900403
self_attention,NoGate,N2_none_lr1e4,1,33,0.701267,0.298733,0.910948
self_attention,NoGate,N2_none_lr1e4,1,34,0.70904,0.29096,0.921873
self_attention,NoGate,N2_none_lr1e4,1,35,0.715359,0.284641,0.932851
self_attention,NoGate,N2_none_lr1e4,1,36,0.720036,0.279964,0.943555
self_attention,NoGate,N2_none_lr1e4,1,37,0.72293,0.27707,0.953666
self_attention,NoGate,N2_none_lr1e4,1,38,0.723956,0.276044,0.962881
self_attention,NoGate,N2_none_lr1e4,1,39,0.723083,0.276917,0.970925
self_attention,NoGate,N2_none_lr1e4,1,40,0.720337,0.279663,0.977558
self_attention,NoGate,N2_none_lr1e4,1,41,0.7158,0.2842,0.982583
self_attention,NoGate,N2_none_lr1e4,1,42,0.709607,0.290393,0.985848
self_attention,NoGate,N2_none_lr1e4,1,43,0.701943,0.298057,0.987257
self_attention,NoGate,N2_none_lr1e4,1,44,0.693038,0.306962,0.986768
self_attention,NoGate,N2_none_lr1e4,1,45,0.683157,0.316843,0.984394
self_attention,NoGate,N2_none_lr1e4,1,46,0.672594,0.327406,0.980208
self_attention,NoGate,N2_none_lr1e4,1,47,0.661666,0.338334,0.974334
self_attention,NoGate,N2_none_lr1e4,1,48,0.650698,0.349302,0.966947
self_attention,NoGate,N2_none_lr1e4,1,49,0.640018,0.359982,0.958268
self_attention,NoGate,N2_none_lr1e4,1,50,0.629946,0.370054,0.948556
self_attention,NoGate,N2_none_lr1e4,1,51,0.62078,0.37922,0.938101
self_attention,NoGate,N2_none_lr1e4,1,52,0.612796,0.387204,0.927215
self_attention,NoGate,N2_none_lr1e4,1,53,0.606231,0.393769,0.916223
self_attention,NoGate,N2_none_lr1e4,1,54,0.601282,0.398718,0.905453
self_attention,NoGate,N2_none_lr1e4,1,55,0.598096,0.401904,0.895227
self_attention,NoGate,N2_none_lr1e4,1,56,0.596769,0.403231,0.88585
self_attention,NoGate,N2_none_lr1e4,1,57,0.597339,0.402661,0.877602
self_attention,NoGate,N2_none_lr1e4,1,58,0.599791,0.400209,0.870729
self_attention,NoGate,N2_none_lr1e4,1,59,0.60405,0.39595,0.865437
self_attention,NoGate,N2_none_lr1e4,1,60,0.60999,0.39001,0.861883
