attention_family,model_role,condition_label,layer,sample_idx,row_weighted_intra,row_weighted_inter,self_inter_norm_entropy
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,0,0.657085,0.342915,0.760043
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,1,0.651807,0.348193,0.771539
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,2,0.64439,0.35561,0.780041
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,3,0.635055,0.364945,0.785293
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,4,0.62408,0.37592,0.787139
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,5,0.611793,0.388207,0.785524
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,6,0.598561,0.401439,0.780497
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,7,0.58478,0.41522,0.772206
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,8,0.57086,0.42914,0.7609
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,9,0.557217,0.442783,0.746917
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,10,0.544258,0.455742,0.730673
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,11,0.532371,0.467629,0.712654
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,12,0.52191,0.47809,0.693397
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,13,0.513187,0.486813,0.673479
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,14,0.506463,0.493537,0.653492
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,15,0.501939,0.498061,0.634034
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,16,0.499749,0.500251,0.615686
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,17,0.49996,0.50004,0.598995
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,18,0.502564,0.497436,0.584461
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,19,0.507484,0.492516,0.572516
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,20,0.514573,0.485427,0.563517
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,21,0.52362,0.47638,0.557734
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,22,0.534354,0.465646,0.555338
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,23,0.546455,0.453545,0.556401
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,24,0.559562,0.440438,0.560892
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,25,0.573283,0.426717,0.568676
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,26,0.587209,0.412791,0.579522
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,27,0.600924,0.399076,0.593104
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,28,0.614018,0.385982,0.609018
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,29,0.626101,0.373899,0.626789
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,30,0.636812,0.363188,0.645886
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,31,0.645831,0.354169,0.665739
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,32,0.652889,0.347111,0.685755
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,33,0.657775,0.342225,0.705337
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,34,0.660343,0.339657,0.7239
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,35,0.660517,0.339483,0.740889
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,36,0.658291,0.341709,0.755799
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,37,0.653732,0.346268,0.768183
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,38,0.646976,0.353024,0.777672
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,39,0.638225,0.361775,0.783982
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,40,0.62774,0.37226,0.786926
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,41,0.615833,0.384167,0.786415
self_attention,PreGate,C3_bias_a05_lr1e4_gate1e4,1,42,0.602861,0.397139,0.782464
